Metric,Model 1 Name,Model 2 Name,Model 1 Performance,Model 2 Performance,Difference,P-value,Pretraining Subsample
auprc_c,CLMBR_SK,CLMBR_DAPT,"0.837 [0.789, 0.887]","0.874 [0.821, 0.92]","-0.036 [-0.055, -0.017]",0.0,0.01
auroc,CLMBR_SK,CLMBR_DAPT,"0.837 [0.787, 0.887]","0.876 [0.824, 0.922]","-0.039 [-0.065, -0.016]",0.0,0.01
ece,CLMBR_SK,CLMBR_DAPT,"0.007 [0.004, 0.01]","0.006 [0.003, 0.009]","0.001 [-0.001, 0.003]",0.518,0.01
auprc,CLMBR_SK,CLMBR_DAPT,"0.315 [0.201, 0.428]","0.329 [0.213, 0.436]","-0.013 [-0.052, 0.017]",0.45,0.2
auprc_c,CLMBR_SK,CLMBR_DAPT,"0.888 [0.838, 0.933]","0.887 [0.834, 0.935]","0.0 [-0.009, 0.013]",0.954,0.2
auroc,CLMBR_SK,CLMBR_DAPT,"0.891 [0.84, 0.937]","0.891 [0.836, 0.938]","-0.0 [-0.011, 0.013]",0.964,0.2
ece,CLMBR_SK,CLMBR_DAPT,"0.006 [0.003, 0.009]","0.006 [0.003, 0.01]","0.0 [-0.002, 0.002]",0.994,0.2
auprc,CLMBR_SK,CLMBR_DAPT,"0.26 [0.168, 0.348]","0.317 [0.208, 0.42]","-0.057 [-0.098, -0.018]",0.004,0.05
auprc_c,CLMBR_SK,CLMBR_DAPT,"0.864 [0.817, 0.908]","0.882 [0.829, 0.929]","-0.018 [-0.032, -0.003]",0.022,0.05
auroc,CLMBR_SK,CLMBR_DAPT,"0.866 [0.821, 0.91]","0.884 [0.828, 0.933]","-0.017 [-0.035, 0.002]",0.078,0.05
ece,CLMBR_SK,CLMBR_DAPT,"0.006 [0.003, 0.01]","0.006 [0.003, 0.01]","0.0 [-0.001, 0.002]",0.64,0.05
auprc,CLMBR_SK,CLMBR,"0.282 [0.181, 0.383]","0.289 [0.184, 0.39]","-0.006 [-0.043, 0.024]",0.704,0.1
auprc_c,CLMBR_SK,CLMBR,"0.873 [0.828, 0.914]","0.875 [0.821, 0.922]","-0.002 [-0.015, 0.013]",0.732,0.1
auroc,CLMBR_SK,CLMBR,"0.875 [0.831, 0.914]","0.88 [0.826, 0.928]","-0.006 [-0.021, 0.011]",0.48,0.1
ece,CLMBR_SK,CLMBR,"0.006 [0.003, 0.009]","0.005 [0.003, 0.009]","0.0 [-0.001, 0.002]",0.602,0.1
auprc,CLMBR_DAPT,CLMBR,"0.317 [0.208, 0.42]","0.289 [0.184, 0.39]","0.029 [0.008, 0.054]",0.004,0.05
auprc_c,CLMBR_DAPT,CLMBR,"0.882 [0.829, 0.929]","0.875 [0.821, 0.922]","0.007 [0.001, 0.013]",0.014,0.05
auroc,CLMBR_DAPT,CLMBR,"0.884 [0.828, 0.933]","0.88 [0.826, 0.928]","0.003 [-0.004, 0.01]",0.36,0.05
ece,CLMBR_DAPT,CLMBR,"0.006 [0.003, 0.01]","0.005 [0.003, 0.009]","0.0 [-0.001, 0.002]",0.654,0.05
auprc,CLMBR_SK,CLMBR_DAPT,"0.161 [0.094, 0.238]","0.282 [0.182, 0.382]","-0.117 [-0.162, -0.075]",0.0,0.001
auprc_c,CLMBR_SK,CLMBR_DAPT,"0.798 [0.743, 0.847]","0.874 [0.824, 0.919]","-0.076 [-0.094, -0.057]",0.0,0.001
auroc,CLMBR_SK,CLMBR_DAPT,"0.794 [0.741, 0.843]","0.879 [0.828, 0.922]","-0.085 [-0.111, -0.061]",0.0,0.001
ece,CLMBR_SK,CLMBR_DAPT,"0.007 [0.004, 0.011]","0.006 [0.003, 0.009]","0.001 [-0.001, 0.003]",0.226,0.001
auprc,CLMBR_DAPT,CLMBR,"0.335 [0.213, 0.445]","0.289 [0.184, 0.39]","0.046 [0.017, 0.076]",0.002,0.8
auprc_c,CLMBR_DAPT,CLMBR,"0.894 [0.846, 0.939]","0.875 [0.821, 0.922]","0.02 [0.01, 0.03]",0.0,0.8
auroc,CLMBR_DAPT,CLMBR,"0.899 [0.85, 0.941]","0.88 [0.826, 0.928]","0.019 [0.008, 0.029]",0.0,0.8
ece,CLMBR_DAPT,CLMBR,"0.006 [0.003, 0.01]","0.005 [0.003, 0.009]","0.0 [-0.001, 0.002]",0.812,0.8
auprc,CLMBR_SK,CLMBR,"0.26 [0.168, 0.348]","0.289 [0.184, 0.39]","-0.027 [-0.063, 0.008]",0.122,0.05
auprc_c,CLMBR_SK,CLMBR,"0.864 [0.817, 0.908]","0.875 [0.821, 0.922]","-0.011 [-0.026, 0.005]",0.188,0.05
auroc,CLMBR_SK,CLMBR,"0.866 [0.821, 0.91]","0.88 [0.826, 0.928]","-0.014 [-0.033, 0.005]",0.142,0.05
ece,CLMBR_SK,CLMBR,"0.006 [0.003, 0.01]","0.005 [0.003, 0.009]","0.001 [-0.001, 0.002]",0.414,0.05
