Metric,Model 1 Name,Model 2 Name,Model 1 Performance,Model 2 Performance,Difference,P-value,Num Training Samples
auroc,CLMBR_DAPT,GBM,"0.858 [0.807, 0.902]","0.792 [0.749, 0.835]","0.064 [0.05, 0.081]",0.0,512
ece,CLMBR_DAPT,GBM,"0.01 [0.007, 0.012]","0.012 [0.007, 0.018]","-0.003 [-0.006, 0.001]",0.132,512
auprc,CLMBR_DAPT,CLMBR_SK,"0.219 [0.145, 0.296]","0.205 [0.134, 0.286]","0.012 [-0.005, 0.032]",0.188,128
auprc_c,CLMBR_DAPT,CLMBR_SK,"0.845 [0.783, 0.896]","0.843 [0.779, 0.896]","0.002 [-0.007, 0.012]",0.744,128
auroc,CLMBR_DAPT,CLMBR_SK,"0.85 [0.791, 0.899]","0.853 [0.79, 0.904]","-0.003 [-0.015, 0.008]",0.558,128
ece,CLMBR_DAPT,CLMBR_SK,"0.007 [0.004, 0.012]","0.007 [0.004, 0.012]","-0.0 [-0.001, 0.001]",0.946,128
auprc,CLMBR_DAPT,GBM,"0.136 [0.092, 0.192]","0.048 [0.02, 0.089]","0.086 [0.053, 0.128]",0.0,16
auprc_c,CLMBR_DAPT,GBM,"0.764 [0.695, 0.825]","0.571 [0.541, 0.606]","0.193 [0.127, 0.25]",0.0,16
auroc,CLMBR_DAPT,GBM,"0.77 [0.698, 0.83]","0.575 [0.547, 0.61]","0.193 [0.122, 0.253]",0.0,16
ece,CLMBR_DAPT,GBM,"0.011 [0.005, 0.019]","0.02 [0.008, 0.036]","-0.009 [-0.018, -0.002]",0.0,16
auprc,CLMBR,GBM,"0.171 [0.108, 0.237]","0.126 [0.081, 0.185]","0.043 [0.01, 0.083]",0.006,128
auprc_c,CLMBR,GBM,"0.815 [0.755, 0.866]","0.755 [0.71, 0.801]","0.059 [0.035, 0.085]",0.0,128
auroc,CLMBR,GBM,"0.82 [0.76, 0.87]","0.752 [0.713, 0.795]","0.066 [0.039, 0.096]",0.0,128
ece,CLMBR,GBM,"0.008 [0.004, 0.013]","0.01 [0.006, 0.015]","-0.002 [-0.003, -0.001]",0.0,128
auprc,CLMBR,GBM,"0.203 [0.129, 0.285]","0.214 [0.13, 0.308]","-0.01 [-0.045, 0.014]",0.51,1024
auprc_c,CLMBR,GBM,"0.832 [0.782, 0.877]","0.812 [0.764, 0.858]","0.019 [0.008, 0.031]",0.0,1024
auroc,CLMBR,GBM,"0.835 [0.787, 0.878]","0.809 [0.768, 0.85]","0.025 [0.012, 0.04]",0.0,1024
ece,CLMBR,GBM,"0.014 [0.009, 0.018]","0.015 [0.009, 0.022]","-0.001 [-0.005, 0.001]",0.24,1024
auprc,CLMBR_DAPT,GBM,"0.072 [0.044, 0.112]","0.037 [0.013, 0.076]","0.034 [0.022, 0.048]",0.0,2
auprc_c,CLMBR_DAPT,GBM,"0.628 [0.587, 0.671]","0.525 [0.51, 0.544]","0.102 [0.072, 0.136]",0.0,2
auroc,CLMBR_DAPT,GBM,"0.621 [0.581, 0.661]","0.53 [0.512, 0.555]","0.089 [0.061, 0.12]",0.0,2
ece,CLMBR_DAPT,GBM,"0.015 [0.007, 0.025]","0.169 [0.112, 0.225]","-0.154 [-0.202, -0.102]",0.0,2
auprc,CLMBR_DAPT,GBM,"0.089 [0.056, 0.131]","0.039 [0.015, 0.08]","0.048 [0.029, 0.075]",0.0,4
auprc_c,CLMBR_DAPT,GBM,"0.677 [0.614, 0.731]","0.524 [0.514, 0.536]","0.151 [0.098, 0.2]",0.0,4
auroc,CLMBR_DAPT,GBM,"0.674 [0.614, 0.726]","0.53 [0.517, 0.546]","0.142 [0.092, 0.19]",0.0,4
ece,CLMBR_DAPT,GBM,"0.013 [0.007, 0.022]","0.162 [0.107, 0.223]","-0.149 [-0.201, -0.1]",0.0,4
auprc,CLMBR,CLMBR_SK,"0.203 [0.129, 0.285]","0.244 [0.152, 0.348]","-0.041 [-0.067, -0.016]",0.0,1024
auprc_c,CLMBR,CLMBR_SK,"0.832 [0.782, 0.877]","0.859 [0.807, 0.905]","-0.027 [-0.038, -0.015]",0.0,1024
auroc,CLMBR,CLMBR_SK,"0.835 [0.787, 0.878]","0.863 [0.811, 0.907]","-0.027 [-0.038, -0.015]",0.0,1024
ece,CLMBR,CLMBR_SK,"0.014 [0.009, 0.018]","0.013 [0.009, 0.018]","0.0 [-0.0, 0.001]",0.318,1024
auprc,CLMBR,CLMBR_SK,"0.087 [0.053, 0.132]","0.114 [0.079, 0.159]","-0.026 [-0.049, -0.008]",0.002,8
auprc_c,CLMBR,CLMBR_SK,"0.689 [0.623, 0.742]","0.737 [0.669, 0.803]","-0.049 [-0.078, -0.021]",0.002,8
auroc,CLMBR,CLMBR_SK,"0.691 [0.627, 0.742]","0.742 [0.677, 0.801]","-0.051 [-0.08, -0.022]",0.0,8
ece,CLMBR,CLMBR_SK,"0.013 [0.006, 0.022]","0.012 [0.006, 0.022]","0.0 [-0.001, 0.002]",0.37,8
auprc,CLMBR_DAPT,CLMBR_SK,"0.248 [0.159, 0.346]","0.244 [0.152, 0.348]","0.002 [-0.019, 0.033]",0.852,1024
auprc_c,CLMBR_DAPT,CLMBR_SK,"0.857 [0.805, 0.9]","0.859 [0.807, 0.905]","-0.002 [-0.013, 0.01]",0.704,1024
auroc,CLMBR_DAPT,CLMBR_SK,"0.86 [0.809, 0.904]","0.863 [0.811, 0.907]","-0.003 [-0.019, 0.012]",0.668,1024
ece,CLMBR_DAPT,CLMBR_SK,"0.013 [0.009, 0.018]","0.013 [0.009, 0.018]","0.0 [-0.001, 0.001]",0.9,1024
auprc,CLMBR,GBM,"0.087 [0.053, 0.132]","0.045 [0.019, 0.086]","0.04 [0.02, 0.067]",0.0,8
auprc_c,CLMBR,GBM,"0.689 [0.623, 0.742]","0.564 [0.543, 0.59]","0.122 [0.072, 0.166]",0.0,8
auroc,CLMBR,GBM,"0.691 [0.627, 0.742]","0.573 [0.553, 0.598]","0.114 [0.067, 0.16]",0.0,8
ece,CLMBR,GBM,"0.013 [0.006, 0.022]","0.071 [0.045, 0.102]","-0.058 [-0.081, -0.038]",0.0,8
